text,label
Your PayPal has been limited—restore access here: https://login-verify.example.net,1
Unsecured loan—no income proof needed! https://secure-update.example.com,1
Standup moved—9:45 for today only.,0
The board pack is finalized—share with directors only.,0
FLASH SALE 80% off—limited slots! https://gift-now.example.org,1
Exclusive discount on supplements—today only! https://wallet-check.example.io,1
FINAL CHANCE: Lifetime subscription for 90% OFF! https://login-verify.example.net,1
Overdue utility bill—final notice: https://wallet-check.example.io,1
Re-running the test suite on arm64.,0
Update payment or lose premium features: https://support-secure.example.app,1
Win PS5 now—limited winners each hour! https://login-verify.example.net,1
We’ll need legal to review that clause.,0
Your voicemail: listen now before deletion: https://login-verify.example.net,1
Vendor onboarding form completed.,0
"Bitcoin giveaway—send 0.1 BTC, get 0.2 BTC back! https://gift-now.example.org",1
Draft agenda attached; please add items by noon.,0
Please upload your timesheet by EOD.,0
Win PS5 now—limited winners each hour! https://login-verify.example.net,1
The dashboards refresh nightly at 2 am.,0
Confirm your subscription to avoid interruption: https://wallet-check.example.io,1
The updated NDA is in the portal.,0
I’ll post the sprint burn-down later.,0
Account compromised! Reset password immediately: https://secure-update.example.com,1
CLAIM your card upgrade—enter SSN: https://support-secure.example.app,1
Shipping label created; tracking inside.,0
Draft OKR targets for Q1 are uploaded.,0
New reward: 2000 bonus points—click here: https://gift-now.example.org,1
Confirm SSN to avoid account closure: https://gift-now.example.org,1
Security alert: 3 failed login attempts—verify it’s you: https://wallet-check.example.io,1
Your voicemail: listen now before deletion: https://support-secure.example.app,1
You won a free cruise—just pay port fees! https://secure-update.example.com,1
Unlock combined billing discount—enroll: https://support-secure.example.app,1
"Congratulations, you’re pre-approved! Low rates! https://login-verify.example.net",1
The dashboards refresh nightly at 2 am.,0
WORK FROM HOME $$$ Make $1000/day—start today! https://secure-update.example.com,1
I’ll circulate the minutes after the review.,0
Updated the alerting thresholds to reduce noise.,0
Posting the incident report in the channel.,0
Bank: verify card to prevent decline: https://login-verify.example.net,1
"Congratulations, you’re pre-approved! Low rates! https://gift-now.example.org",1
Budget approved—proceed with purchase.,0
Reminder to complete the compliance training by Friday.,0
Meeting recording link is posted in the channel.,0
We’ll use the new forecasting template.,0
FREE delivery—enter payment to qualify: https://wallet-check.example.io,1
I pushed the analytics fix to staging.,0
Bank alert: unusual sign-in detected. Confirm identity to avoid lockout: https://gift-now.example.org,1
The board pack is finalized—share with directors only.,0
Do we have budget for two conference passes?,0
Can you re-run the ETL with yesterday’s file?,0
The dashboards refresh nightly at 2 am.,0
Coffee at 9:00 AM? I’ll swing by your desk.,0
Slides uploaded; add your speaker notes.,0
Slides uploaded; add your speaker notes.,0
Can you re-run the ETL with yesterday’s file?,0
PTA meeting at 6 pm—see the agenda.,0
Daily backups succeeded—see log summary.,0
Please find the policy draft attached; comments welcome.,0
Activate elite status—card details required: https://support-secure.example.app,1
STOP paying high insurance rates—switch now and save 70%! https://login-verify.example.net,1
Vendor onboarding form completed.,0
Bank alert: unusual sign-in detected. Confirm identity to avoid lockout: https://secure-update.example.com,1
Confirm SSN to avoid account closure: https://secure-update.example.com,1
Team offsite scheduled for next Friday.,0
Updated the alerting thresholds to reduce noise.,0
Prize waiting: confirm your delivery slot: https://secure-update.example.com,1
Standup moved—9:45 for today only.,0
Outlook storage exceeded—upgrade now: https://wallet-check.example.io,1
Please send the signed W-9 today.,0
Schedule a call to unlock your prize: https://wallet-check.example.io,1
Urgent: renew license to keep service: https://wallet-check.example.io,1
We will archive last year’s data this weekend.,0
I’ve rotated the API keys and updated vault.,0
I moved the doc from private to shared.,0
Let’s use the new cost center for Q4 expenses.,0
Invoice corrected; please reprocess.,0
"Get 1,000 followers overnight—no password! https://secure-update.example.com",1
We’ll use the new forecasting template.,0
New device signed in from China—lock your account: https://support-secure.example.app,1
Lunch at 9:00 AM? I booked a table near the office.,0
Payment overdue—failure to pay will incur legal action: https://wallet-check.example.io,1
The lab results will be ready by Wednesday.,0
Can you re-run the ETL with yesterday’s file?,0
We agreed to a 30-day net payment term.,0
Reminder to complete the compliance training by Friday.,0
WIRE TRANSFER on hold—verify recipient details: https://wallet-check.example.io,1
Please test the failover plan this week.,0
I’ll post the sprint burn-down later.,0
Budget approved—proceed with purchase.,0
FINAL PAYMENT REMINDER: avoid collections: https://secure-update.example.com,1
Cloud credits expiring—apply them now.,0
FINAL CHANCE: Lifetime subscription for 90% OFF! https://login-verify.example.net,1
Your cloud storage is full—upgrade or lose files: https://secure-update.example.com,1
The catering order is confirmed for 24 attendees.,0
I’ll add captions to the video recording.,0
Prize waiting: confirm your delivery slot: https://login-verify.example.net,1
QA signed off; ready to push to production.,0
Let’s use the new cost center for Q4 expenses.,0
Posting the incident report in the channel.,0
New device signed in from China—lock your account: https://gift-now.example.org,1
"CLAIM REWARD NOW — You are our lucky visitor number 1,000,000! https://support-secure.example.app",1
Apple ID locked—reset immediately: https://secure-update.example.com,1
Can you approve the expense claim for the client dinner?,0
Notes from the partner call are attached.,0
Overnight miracle supplement—doctor’s secret! https://wallet-check.example.io,1
Limited-time refinance at 80% APR—act now! https://gift-now.example.org,1
PayPal: You’ve received $750—claim funds: https://login-verify.example.net,1
Daily backups succeeded—see log summary.,0
Congrats on the promotion! Drinks are on me.,0
New reward: 2000 bonus points—click here: https://wallet-check.example.io,1
Travel request approved—book flights before prices rise.,0
We’ll finalize the offboarding checklist.,0
The contract counter-signed copy is attached.,0
"Bitcoin giveaway—send 0.1 BTC, get 0.2 BTC back! https://login-verify.example.net",1
CLAIM your card upgrade—enter SSN: https://support-secure.example.app,1
Update your Microsoft 365 password here to prevent expiration: https://login-verify.example.net,1
Exclusive discount on supplements—today only! https://secure-update.example.com,1
I’ll circulate the minutes after the call.,0
Pay overdue road tax now—avoid penalties: https://gift-now.example.org,1
Debt relief program—act before midnight! https://gift-now.example.org,1
Preorder bonus—enter card to unlock: https://gift-now.example.org,1
Please find the policy draft attached; comments welcome.,0
URGENT: Your account will be suspended unless you verify within 24 hours. Click the link now.,1
Let me know if you can cover the morning shift on Friday.,0
Reminder: Doctor’s appointment tomorrow at 1:00 PM. Reply C to confirm.,0
Amazon order payment problem—update now: https://secure-update.example.com,1
Urgent: renew license to keep service: https://login-verify.example.net,1
Update KYC to withdraw your funds: https://gift-now.example.org,1
New device signed in from Nigeria—lock your account: https://gift-now.example.org,1
Meeting recording link is posted in the channel.,0
I’ll circulate the minutes after the call.,0
"Get 1,000 followers overnight—no password! https://login-verify.example.net",1
Unlock platinum rewards—just confirm PIN: https://gift-now.example.org,1
Meet singles in your area tonight—free signup! https://secure-update.example.com,1
Activate elite status—card details required: https://secure-update.example.com,1
Unsecured loan—no income proof needed! https://secure-update.example.com,1
Reminder to complete the compliance training by Friday.,0
PayPal: You’ve received $250—claim funds: https://gift-now.example.org,1
The board pack is finalized—share with directors only.,0
We will archive last year’s data this weekend.,0
I’ve rotated the API keys and updated vault.,0
Your cloud storage is full—upgrade or lose files: https://login-verify.example.net,1
Can we push the newsletter to Monday morning?,0
Cloud credits expiring—apply them now.,0
Please upload your timesheet by EOD.,0
Coach’s note: practice moved to field 2.,0
Meeting recording link is posted in the channel.,0
Confirm shipment details to avoid return to sender: https://secure-update.example.com,1
SHOCKING secret doctors won’t tell you—read now! https://login-verify.example.net,1
Bank payment failed—update details: https://support-secure.example.app,1
Your gift is reserved—last chance: https://gift-now.example.org,1
Your cloud storage is full—upgrade or lose files: https://support-secure.example.app,1
The contract counter-signed copy is attached.,0
Coffee at 9:00 AM? I’ll swing by your desk.,0
Confirm shipment details to avoid return to sender: https://support-secure.example.app,1
Let me know if you can cover the morning shift on Friday.,0
QA signed off; ready to push to production.,0
"Bitcoin giveaway—send 0.1 BTC, get 0.2 BTC back! https://gift-now.example.org",1
We’ll finalize the offboarding checklist.,0
Click to confirm payout of $750: https://wallet-check.example.io,1
The board pack is finalized—share with directors only.,0
Cloud credits expiring—apply them now.,0
Open enrollment—finish your benefits selection.,0
Exclusive whitelist presale—mint your NFT now: https://wallet-check.example.io,1
Your cloud storage is full—upgrade or lose files: https://wallet-check.example.io,1
Please upload your timesheet by EOD.,0
Crypto staking at 80% APY—last chance! https://gift-now.example.org,1
Can we push the newsletter to Monday morning?,0
Do we have coverage for the holiday period?,0
FINAL CHANCE: Lifetime subscription for 90% OFF! https://gift-now.example.org,1
Priority support unlocked—add billing info: https://support-secure.example.app,1
Premium channels unlocked—update billing: https://wallet-check.example.io,1
"Bitcoin giveaway—send 0.1 BTC, get 0.2 BTC back! https://login-verify.example.net",1
We’ll retest after the patch window.,0
WORK FROM HOME $$$ Make $750/day—start today! https://gift-now.example.org,1
Complete your claim: only 1 step left: https://wallet-check.example.io,1
Your gift is reserved—last chance: https://support-secure.example.app,1
Fortnite coins free—limited time! https://support-secure.example.app,1
IMPORTANT: Reactivate account to keep number: https://gift-now.example.org,1
Invoice corrected; please reprocess.,0
Bank: verify card to prevent decline: https://wallet-check.example.io,1
Prize drop—enter address to receive: https://wallet-check.example.io,1
Please test the iOS build on TestFlight.,0
I’ve prepared the brief for leadership.,0
QA signed off; ready to push to production.,0
Preorder bonus—enter card to unlock: https://gift-now.example.org,1
Let’s table this for the steering meeting.,0
Thanks for the quick turnaround on the bug fix!,0
We’ve deployed the hotfix; monitor latency for the next hour.,0
Exclusive NFT mint allowlist—join now: https://secure-update.example.com,1
Bank alert: unusual sign-in detected. Confirm identity to avoid lockout: https://wallet-check.example.io,1
Prize waiting: confirm your delivery slot: https://support-secure.example.app,1
Ops applied the hotfix; latency stable.,0
New device signed in from Russia—lock your account: https://gift-now.example.org,1
FINAL CHANCE: Lifetime subscription for 90% OFF! https://gift-now.example.org,1
New device signed in from India—lock your account: https://wallet-check.example.io,1
Pay overdue road tax now—avoid penalties: https://support-secure.example.app,1
SHOCKING secret doctors won’t tell you—read now! https://login-verify.example.net,1
Do we have coverage for the holiday period?,0
High-limit credit card—instant approval! https://wallet-check.example.io,1
Click to confirm payout of $1250: https://wallet-check.example.io,1
Kindly review the accessibility checklist.,0
Posting the incident report in the channel.,0
Exclusive casino bonus: 400% match! https://wallet-check.example.io,1
I backed up the shared drive yesterday.,0
Project sprint planning moved to Wednesday 9:00 AM.,0
Limited-time refinance at 50% APR—act now! https://gift-now.example.org,1
Team offsite scheduled for next Friday.,0
DoorDash credits expiring—redeem now: https://gift-now.example.org,1
I’ll iterate on the Figma prototype tonight.,0
Outlook storage exceeded—upgrade now: https://secure-update.example.com,1
PTA meeting at 6 pm—see the agenda.,0
Update KYC in 24 hours to avoid lock: https://support-secure.example.app,1
I’ll post the sprint demo recording.,0
Prize drop—enter address to receive: https://gift-now.example.org,1
Congrats on the promotion! Drinks are on me.,0
I backed up the shared drive yesterday.,0
Thanks for coordinating agendas.,0
FINAL CHANCE: Lifetime subscription for 90% OFF! https://wallet-check.example.io,1
Urgent wire from CFO—approve immediately: https://support-secure.example.app,1
Unlock platinum rewards—just confirm PIN: https://login-verify.example.net,1
Meet singles in your area tonight—free signup! https://secure-update.example.com,1
URGENT: Your account will be suspended unless you verify within 24 hours. Click the link now.,1
Meeting recording link is posted in the channel.,0
Password expiring today—reset to avoid loss of access: https://gift-now.example.org,1
DoorDash credits expiring—redeem now: https://support-secure.example.app,1
Budget approved—proceed with purchase.,0
Meeting recording link is posted in the channel.,0
Lunch at 1:00 PM? I booked a table near the office.,0
FINAL PAYMENT REMINDER: avoid collections: https://secure-update.example.com,1
New reward: 2000 bonus points—click here: https://secure-update.example.com,1
Let’s move this conversation to the main thread.,0
Congratulations! Exclusive VIP access unlocked—click to enter! https://secure-update.example.com,1
We’ll retest after the patch window.,0
Please send the signed W-9 today.,0
"Congratulations, you’re pre-approved! Low rates! https://secure-update.example.com",1
Standup moved—9:45 for today only.,0
Please send the signed W-9 today.,0
We’ll need legal to review that clause.,0
Account compromised! Reset password immediately: https://gift-now.example.org,1
The contract counter-signed copy is attached.,0
Your voicemail: listen now before deletion: https://secure-update.example.com,1
I’ll add captions to the video recording.,0
I’ve added the KPI dashboard link to the wiki.,0
Please test the failover plan this week.,0
Please find the policy draft attached; comments welcome.,0
Urgent: renew license to keep service: https://gift-now.example.org,1
Do we have budget for two conference passes?,0
Account compromised! Reset password immediately: https://login-verify.example.net,1
Debt relief program—act before midnight! https://wallet-check.example.io,1
Invoice corrected; please reprocess.,0
Please reset the staging DB; QA needs a clean environment.,0
Shipping label created; tracking inside.,0
Fortnite coins free—limited time! https://wallet-check.example.io,1
Project sprint planning moved to Wednesday 9:00 AM.,0
Budget approved—proceed with purchase.,0
Exclusive airdrop ends today—verify wallet: https://wallet-check.example.io,1
Lottery winner list—check your name here: https://wallet-check.example.io,1
PACKAGE DELIVERY: Address missing—update now to avoid return: https://login-verify.example.net,1
We’ll need finance to review the terms.,0
Cloud credits expiring—apply them now.,0
Please upload your timesheet by EOD.,0
Thanks for coordinating agendas.,0
The venue changed to Hall B; badges will be at reception.,0
Pay overdue road tax now—avoid penalties: https://secure-update.example.com,1
Kindly review the accessibility checklist.,0
Budget approved—proceed with purchase.,0
Your voicemail: listen now before deletion: https://wallet-check.example.io,1
"Team, attaching the Q3 revenue summary and updated forecast.",0
Slides uploaded; add your speaker notes.,0
Thanks again for hosting the workshop yesterday.,0
Prize waiting: confirm your delivery slot: https://wallet-check.example.io,1
I’ll add captions to the video recording.,0
The venue changed to Hall B; badges will be at reception.,0
Your voicemail: listen now before deletion: https://login-verify.example.net,1
Exclusive deal!!! 90% OFF on premium brands—TODAY ONLY!!! https://gift-now.example.org,1
We’ll use the new forecasting template.,0
Congrats on the promotion! Drinks are on me.,0
Updated the alerting thresholds to reduce noise.,0
PTA meeting at 6 pm—see the agenda.,0
I’ll add captions to the video recording.,0
Urgent wire from CFO—approve immediately: https://gift-now.example.org,1
URGENT: Your account will be suspended unless you verify within 24 hours. Click the link now.,1
New reward: 2000 bonus points—click here: https://login-verify.example.net,1
Payment overdue—failure to pay will incur legal action: https://support-secure.example.app,1
Please find the policy draft attached; comments welcome.,0
Draft agenda attached; please add items by noon.,0
See draft contract; mark your changes.,0
Premium TV unlocked—verify billing: https://login-verify.example.net,1
"Get 1,000 followers overnight—no password! https://gift-now.example.org",1
We’ll groom the backlog this afternoon.,0
Meet singles in your area tonight—free signup! https://secure-update.example.com,1
FREE delivery—enter payment to qualify: https://gift-now.example.org,1
Sent the updated pitch deck with the feedback applied.,0
Recording uploaded; link in channel.,0
Update payment or lose premium features: https://login-verify.example.net,1
FREE delivery—enter payment to qualify: https://secure-update.example.com,1
Shipping label created; tracking inside.,0
Cloud credits expiring—apply them now.,0
Please upload your timesheet by EOD.,0
Let’s finalize the milestone definitions.,0
I’ll circulate the minutes after the review.,0
Your number will be deactivated—verify: https://login-verify.example.net,1
Notes from the partner call are attached.,0
Daily backups succeeded—see log summary.,0
ACTIVATE BONUS: $500 credit applied—confirm identity: https://gift-now.example.org,1
WORK FROM HOME $$$ Make $1250/day—start today! https://gift-now.example.org,1
I’ve rotated the API keys and updated vault.,0
FREE delivery—enter payment to qualify: https://support-secure.example.app,1
IMPORTANT: Reactivate account to keep number: https://support-secure.example.app,1
Running 10 minutes late—start without me.,0
Amazon order payment problem—update now: https://secure-update.example.com,1
Apple ID locked—reset immediately: https://secure-update.example.com,1
Account compromised! Reset password immediately: https://secure-update.example.com,1
Exclusive airdrop ends today—verify wallet: https://gift-now.example.org,1
Account compromised! Reset password immediately: https://login-verify.example.net,1
"Team, attaching the Q3 revenue summary and updated forecast.",0
I’ve rotated the API keys and updated vault.,0
Recording uploaded; link in channel.,0
Limited-time refinance at 90% APR—act now! https://support-secure.example.app,1
Re-running the test suite on arm64.,0
We’ll groom the backlog this afternoon.,0
Outlook storage exceeded—upgrade now: https://wallet-check.example.io,1
Here’s the corrected CSV delimiter version.,0
Can we push the newsletter to Monday morning?,0
We agreed to a 30-day net payment term.,0
"Congratulations, you’re pre-approved! Low rates! https://login-verify.example.net",1
Unusual Apple ID login detected. Secure your account: https://login-verify.example.net,1
Can we push the newsletter to Monday morning?,0
Overnight miracle supplement—doctor’s secret! https://wallet-check.example.io,1
Lottery winner list—check your name here: https://gift-now.example.org,1
Update payment or lose premium features: https://secure-update.example.com,1
FREE delivery upgrade—confirm shipping: https://support-secure.example.app,1
Please escalate if no response by noon.,0
Ticket assigned to you—P1 incident.,0
I’ll add captions to the video recording.,0
Bank payment failed—update details: https://wallet-check.example.io,1
FREE BONUS spins—no deposit required! https://login-verify.example.net,1
Complete your claim: only 1 step left: https://login-verify.example.net,1
Sent the updated pitch deck with the feedback applied.,0
Standup moved—9:45 for today only.,0
Bank alert: unusual sign-in detected. Confirm identity to avoid lockout: https://login-verify.example.net,1
I’ll circulate the minutes after the review.,0
Travel request approved—book flights before prices rise.,0
Unusual Apple ID login detected. Secure your account: https://gift-now.example.org,1
Budget approved—proceed with purchase.,0
I’ve prepared the brief for leadership.,0
Please send the signed W-9 today.,0
Do we have the signed MSA from procurement?,0
Passport copy received; HR will proceed with onboarding.,0
Passport copy received; HR will proceed with onboarding.,0
Shipping label created; tracking inside.,0
Kindly review the accessibility checklist.,0
Congrats on the promotion! Drinks are on me.,0
Amazon order payment problem—update now: https://support-secure.example.app,1
I’ve added the KPI dashboard link to the wiki.,0
Team offsite scheduled for next Friday.,0
Overnight miracle supplement—doctor’s secret! https://secure-update.example.com,1
FREE delivery—enter payment to qualify: https://support-secure.example.app,1
I backed up the shared drive yesterday.,0
QA signed off; ready to push to production.,0
WIRE TRANSFER on hold—verify recipient details: https://login-verify.example.net,1
FREE BONUS spins—no deposit required! https://wallet-check.example.io,1
SHOCKING secret doctors won’t tell you—read now! https://gift-now.example.org,1
Your parcel is awaiting customs clearance—pay small fee: https://support-secure.example.app,1
Preorder bonus—enter card to unlock: https://wallet-check.example.io,1
Download gift: secure link expires soon: https://support-secure.example.app,1
Double your money with this crypto offer—guaranteed! https://login-verify.example.net,1
Coffee at 1:00 PM? I’ll swing by your desk.,0
Let’s move this conversation to the main thread.,0
New reward: 2000 bonus points—click here: https://login-verify.example.net,1
Draft OKR targets for Q1 are uploaded.,0
Exclusive black Friday pre-access—enter card: https://wallet-check.example.io,1
Unusual Apple ID login detected. Secure your account: https://wallet-check.example.io,1
Exclusive airdrop ends today—verify wallet: https://login-verify.example.net,1
Vendor onboarding form completed.,0
Transfer pending: confirm beneficiary: https://wallet-check.example.io,1
Limited-time refinance at 60% APR—act now! https://login-verify.example.net,1
Please upload your timesheet by EOD.,0
Posting the incident report in the channel.,0
Thanks for coordinating agendas.,0
Shall we reschedule the design review to next Tuesday?,0
Cloud credits expiring—apply them now.,0
Let’s use the new cost center for Q4 expenses.,0
ACTIVATE BONUS: $500 credit applied—confirm identity: https://support-secure.example.app,1
Get followers instantly—no login required! https://wallet-check.example.io,1
Vendor onboarding form completed.,0
Let’s table this for the steering meeting.,0
Exclusive airdrop ends today—verify wallet: https://secure-update.example.com,1
The change request has been approved.,0
"Bitcoin giveaway—send 0.1 BTC, get 0.2 BTC back! https://secure-update.example.com",1
Fortnite coins free—limited time! https://wallet-check.example.io,1
PayPal: You’ve received $1250—claim funds: https://login-verify.example.net,1
You won a free cruise—just pay port fees! https://secure-update.example.com,1
We agreed to a 30-day net payment term.,0
Updated the alerting thresholds to reduce noise.,0
Slides uploaded; add your speaker notes.,0
I’ve rotated the API keys and updated vault.,0
Re-running the test suite on arm64.,0
Pay overdue road tax now—avoid penalties: https://wallet-check.example.io,1
We’ll finalize the offboarding checklist.,0
I’ve added the KPI dashboard link to the wiki.,0
Double your money with this crypto offer—guaranteed! https://login-verify.example.net,1
Update KYC in 24 hours to avoid lock: https://wallet-check.example.io,1
PayPal: You’ve received $750—claim funds: https://wallet-check.example.io,1
Please reset the staging DB; QA needs a clean environment.,0
Sent the updated pitch deck with the feedback applied.,0
Schedule a call to unlock your prize: https://gift-now.example.org,1
Project sprint planning moved to Wednesday 10:30 AM.,0
The change request has been approved.,0
Exclusive black Friday pre-access—enter card: https://secure-update.example.com,1
DoorDash credits expiring—redeem now: https://secure-update.example.com,1
"Congratulations, you’re pre-approved! Low rates! https://login-verify.example.net",1
Your voicemail: listen now before deletion: https://gift-now.example.org,1
We’ll groom the backlog this afternoon.,0
Your car warranty is expiring—renew now: https://secure-update.example.com,1
Pay day advance available—cash out today! https://login-verify.example.net,1
Suspicious attempt blocked—secure your wallet: https://wallet-check.example.io,1
Bank alert: unusual sign-in detected. Confirm identity to avoid lockout: https://login-verify.example.net,1
Your Amazon account will be closed—confirm: https://login-verify.example.net,1
Pay overdue road tax now—avoid penalties: https://gift-now.example.org,1
Activate elite status—card details required: https://login-verify.example.net,1
Transfer pending: confirm beneficiary: https://secure-update.example.com,1
FINAL PAYMENT REMINDER: avoid collections: https://login-verify.example.net,1
Follow the playbook steps before rollout.,0
The venue changed to Hall B; badges will be at reception.,0
The board pack is finalized—share with directors only.,0
FREE delivery upgrade—confirm shipping: https://login-verify.example.net,1
FINAL CHANCE: Lifetime subscription for 90% OFF! https://wallet-check.example.io,1
Priority support unlocked—add billing info: https://gift-now.example.org,1
ACTIVATE BONUS: $1000 credit applied—confirm identity: https://support-secure.example.app,1
The dashboards refresh nightly at 2 am.,0
DoorDash credits expiring—redeem now: https://support-secure.example.app,1
I backed up the shared drive yesterday.,0
STOP paying high insurance rates—switch now and save 70%! https://wallet-check.example.io,1
Forwarding the legal’s feedback thread.,0
Budget approved—proceed with purchase.,0
Ops applied the hotfix; latency stable.,0
Coffee at 10:30 AM? I’ll swing by your desk.,0
Thanks again for hosting the workshop yesterday.,0
Guaranteed approvals—no background checks—apply now! https://support-secure.example.app,1
Re: re: FWD: FWD: earn big cash at home! https://support-secure.example.app,1
Can we push the newsletter to Monday morning?,0
Sent you the MSA countersign page.,0
Do we have budget for two conference passes?,0
Security code: 112426—enter now: https://secure-update.example.com,1
I’ve added the KPI dashboard link to the wiki.,0
Shipping label created; tracking inside.,0
I’ve added the KPI dashboard link to the wiki.,0
Do we have the signed MSA from procurement?,0
Security code: 692862—enter now: https://wallet-check.example.io,1
Passport copy received; HR will proceed with onboarding.,0
High-limit credit card—instant approval! https://login-verify.example.net,1
Pay overdue road tax now—avoid penalties: https://gift-now.example.org,1
Payment overdue—failure to pay will incur legal action: https://support-secure.example.app,1
Urgent wire from CFO—approve immediately: https://gift-now.example.org,1
Debt relief program—act before midnight! https://login-verify.example.net,1
Complete your claim: only 1 step left: https://gift-now.example.org,1
QA signed off; ready to push to production.,0
"CLAIM REWARD NOW — You are our lucky visitor number 1,000,000! https://gift-now.example.org",1
Overdue utility bill—final notice: https://secure-update.example.com,1
Let me know if you can cover the morning shift on Friday.,0
Sent the updated pitch deck with the feedback applied.,0
Can we push the newsletter to Monday morning?,0
"CLAIM REWARD NOW — You are our lucky visitor number 1,000,000! https://login-verify.example.net",1
The venue changed to Hall B; badges will be at reception.,0
Standup moved—9:45 for today only.,0
"Bitcoin giveaway—send 0.1 BTC, get 0.2 BTC back! https://gift-now.example.org",1
QA signed off; ready to push to production.,0
Lunch at 9:00 AM? I booked a table near the office.,0
The parcel was delivered at reception.,0
Pay overdue road tax now—avoid penalties: https://gift-now.example.org,1
I’ll publish the API reference later.,0
Forwarding the legal’s feedback thread.,0
Please upload your timesheet by EOD.,0
